# parabolic
dx_magnitude	avg_fwd_hess_err	avg_cen_hess_err	avg_cen_u_hess_err
-10	0.000171258066576535	2.2422802322369E-23	2.2422802322369E-23
-11	4.37981804710062E-05	9.70342496320389E-23	9.70342496320389E-23
-12	1.07472899880813E-05	3.9983854386867E-22	3.9983854386867E-22
-13	2.72602754712507E-06	1.60590108467545E-21	1.60590108467545E-21
-14	6.76846790031385E-07	6.14887208798555E-21	6.14887208798555E-21
-15	1.74180424397334E-07	2.11011716658388E-20	2.11011716658388E-20
-16	4.26479772610083E-08	8.65042812300303E-20	8.65042812300303E-20
-17	1.06162160012614E-08	3.73230739039011E-19	3.73230739039011E-19
-18	2.68538590585238E-09	1.7590105394819E-18	1.7590105394819E-18
-19	6.76597021110235E-10	6.70785981785055E-18	6.70785981785055E-18
-20	1.69007206474371E-10	2.37746868431179E-17	2.37746868431179E-17
-21	4.16419860699935E-11	9.96049875435E-17	9.96049875435E-17
-22	1.05345095629068E-11	4.02102874832788E-16	4.02102874832788E-16
-23	2.6830306286096E-12	1.54859620854314E-15	1.54859620854314E-15
-24	7.77638806929324E-13	7.32024838821738E-15	7.32024838821738E-15
-25	5.07967621381002E-13	2.39624531038292E-14	2.39624531038292E-14
-26	1.45087180425708E-12	9.67598175208321E-14	9.67598175208321E-14
-27	5.58743382434988E-12	3.7167295807504E-13	3.7167295807504E-13
-28	2.26417115248196E-11	1.54513949531683E-12	1.54513949531683E-12
-29	1.03659512790002E-10	7.16737192843525E-12	7.16737192843525E-12


# gradient himmelblau
dx_magnitude	avg_fwd_hess_err	avg_cen_hess_err	avg_cen_u_hess_err
-10	8.87236482578625	6.48971418726701E-05	6.48971418726701E-05
-11	2.37993002524354	4.36258980132422E-06	4.36258980132422E-06
-12	0.561953740046508	2.58528768455823E-07	2.58528768455823E-07
-13	0.137724132745849	1.57887470596613E-08	1.57887470596613E-08
-14	0.0347279066068445	9.97891844525232E-10	9.97891844525232E-10
-15	0.00869409332791782	6.23640084889221E-11	6.23640084889221E-11
-16	0.00219297547951025	3.9373514775319E-12	3.9373514775319E-12
-17	0.00053552352748611	2.40958077110198E-13	2.40958077110198E-13
-18	0.00013666470570517	1.67371588585865E-14	1.67371588585865E-14
-19	3.51280290871919E-05	4.75080473958702E-15	4.75080473958702E-15
-20	8.95119638768452E-06	1.43482972655234E-14	1.43482972655234E-14
-21	2.0485089888129E-06	6.58026808287521E-14	6.58026808287521E-14
-22	5.32685209717148E-07	2.5310990952898E-13	2.5310990952898E-13
-23	1.31539172060262E-07	9.16333889193654E-13	9.16333889193654E-13
-24	3.5132667056747E-08	4.4590185576826E-12	4.4590185576826E-12
-25	8.50347340911474E-09	1.44703382244957E-11	1.44703382244957E-11
-26	2.33751074939056E-09	6.19269178387052E-11	6.19269178387052E-11
-27	1.64341395433672E-09	2.37686537780158E-10	2.37686537780158E-10
-28	5.70428989322465E-09	1.00088613726922E-09	1.00088613726922E-09
-29	1.88118297493549E-08	3.95907540852622E-09	3.95907540852622E-09


# gradient rosenbrock
dx_magnitude	avg_fwd_hess_err	avg_cen_hess_err	avg_cen_u_hess_err
-10	54179.1222965346	0.366464201097612	0.366464201097612
-11	12322.4291946478	0.0208957439496696	0.0208957439496696
-12	3155.39267399899	0.0013331035225462	0.0013331035225462
-13	723.254516643631	7.66171335131634E-05	7.66171335131634E-05
-14	189.651122688337	5.01956780278076E-06	5.01956780278076E-06
-15	49.4683897009116	3.2732735407054E-07	3.2732735407054E-07
-16	12.9983393857207	2.14220838983858E-08	2.14220838983858E-08
-17	3.02958585129092	1.25477413425123E-09	1.25477413425123E-09
-18	0.712085195753269	8.3917173185023E-11	8.3917173185023E-11
-19	0.20796593807939	4.08080046383877E-11	4.08080046383877E-11
-20	0.0470110592284654	9.14127513138058E-11	9.14127513138058E-11
-21	0.0115111564695631	4.53893468766726E-10	4.53893468766726E-10
-22	0.00304208612687235	1.87541556146356E-09	1.87541556146356E-09
-23	0.000753767592707087	6.6595071956996E-09	6.6595071956996E-09
-24	0.000168308083812342	2.40112145391861E-08	2.40112145391861E-08
-25	4.81131791322369E-05	1.11373643112075E-07	1.11373643112075E-07
-26	1.4331397062722E-05	4.35473026956103E-07	4.35473026956103E-07
-27	1.21058178746953E-05	1.6330231858936E-06	1.6330231858936E-06
-28	3.21528123537837E-05	6.21877167029243E-06	6.21877167029243E-06
-29	0.000134898331492463	2.77980086005206E-05	2.77980086005206E-05


